   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       6.8559       0.3623      23.0365      45.0096       0.3901
         2       0.0002       0.0967      17.9664      17.9401       0.3948
         3       8.2093       0.8986      24.6151      46.8176       0.3808
         4       0.0002       0.0836      17.9664      17.9401       0.4026
         5       0.0080       0.0943      17.9704      17.1047       0.4293
         6       0.0071       0.6999      17.9699      17.2015       0.3878
         7       0.0001       0.1394      17.9663      17.9578       0.3877
         8       0.2763       0.5869      18.1089       7.0640       0.3931
         9       0.0001       0.3171      17.9663      17.9585       0.3956
        10       0.0000       0.8202      17.9663      17.9651       0.3984
        11       0.0040       0.3637      17.9683      17.5289       0.3848
        12       0.0301       0.7467      17.9816      15.0273       0.3760
        13       0.0506       0.7362      17.9921      13.4281       0.3719
        14       5.9798       0.2466      22.1527      43.4861       0.3772
        15       0.4325       0.9535      18.1913       7.7423       0.3985
        16       0.1235       0.4276      18.0296       9.6191       0.3787
        17       0.0023       0.9736      17.9675      17.7081       0.3592
        18       0.3567       0.2451      18.1511       7.1792       0.3652
        19       0.0014       0.5201      17.9670      17.8122       0.3906
        20       6.6847       0.7586      22.8561      44.7378       0.3713
        21       0.5162       0.6058      18.2359       8.6672       0.3914
        22       1.1333       0.8890      18.5761      17.5057       0.3776
        23       0.0119       0.5130      17.9723      16.7164       0.3870
        24       0.0027       0.2975      17.9677      17.6655       0.3799
        25       0.0223       0.3045      17.9777      15.7162       0.3655
        26       0.1241       0.0127      18.0299       9.5943       0.3906
        27       0.0161       0.7248      17.9745      16.3028       0.3789
        28       0.0000       0.7689      17.9663      17.9651       0.3879
        29       0.0081       0.6570      17.9704      17.0938       0.3773
        30       0.0002       0.4738      17.9664      17.9494       0.3716
        31       0.7035       0.9417      18.3370      11.2702       0.3729
        32       0.2086       0.9972      18.0736       7.5904       0.3788
        33       0.0079       0.7971      17.9703      17.1193       0.3775
        34       0.0000       0.8362      17.9663      17.9650       0.3804
        35       0.0035       0.5738      17.9681      17.5826       0.3823
        36       0.0010       0.0334      17.9668      17.8538       0.3687
        37       0.0000       0.7649      17.9663      17.9646       0.3731
        38       0.0001       0.1765      17.9663      17.9598       0.3718
        39       2.3520       0.5093      19.3116      29.7876       0.3662
        40       0.6371       0.1313      18.3010      10.3010       0.3764
        41       0.0000       0.3262      17.9663      17.9632       0.3737
        42       0.0001       0.3700      17.9663      17.9589       0.3548
        43       0.0095       0.4597      17.9711      16.9570       0.4114
        44       0.0009       0.7673      17.9667      17.8676       0.3777
        45       0.4064       0.3649      18.1774       7.5118       0.3808
        46       0.0031       0.9224      17.9678      17.6287       0.3761
        47       0.0474       0.0885      17.9905      13.6553       0.3838
        48       0.0000       0.0140      17.9663      17.9622       0.3678
        49       0.0081       0.6359      17.9704      17.1002       0.3913
        50       0.2255       0.4973      18.0824       7.3889       0.4045
        51       0.0001       0.4188      17.9663      17.9572       0.4105
        52       0.0000       0.2427      17.9663      17.9651       0.4145
        53       0.0005       0.2216      17.9665      17.9084       0.3785
        54       0.0001       0.3543      17.9663      17.9604       0.3823
        55       0.0008       0.6838      17.9667      17.8782       0.3835
        56       5.6366       0.1313      21.8315      42.7862       0.3750
        57       0.0124       0.7606      17.9726      16.6579       0.3690
        58       5.1235       0.6209      21.3749      41.6034       0.3745
        59       0.6731       0.0792      18.3205      10.8224       0.3615
        60       0.0002       0.6160      17.9664      17.9485       0.3674
        61       0.0010       0.1088      17.9668      17.8512       0.3944
        62       0.0000       0.7528      17.9663      17.9646       0.3629
        63       0.0348       0.6363      17.9840      14.6376       0.3652
        64       0.0089       0.7370      17.9708      17.0197       0.3695
        65       0.6356       0.0333      18.3002      10.2798       0.3736
        66       0.0056       0.6878      17.9691      17.3601       0.3683
        67       0.3023       0.2291      18.1226       7.0305       0.3878
        68       0.0001       0.0562      17.9663      17.9533       0.3741
        69       0.0338       0.5417      17.9835      14.7138       0.3733
        70       0.0016       0.5655      17.9671      17.7936       0.3603
