   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       6.8559       0.3623      15.2904     834.6290       0.4554
         2       0.0002       0.0967      15.2563      15.2564       0.1266
         3       8.2093       0.8986      15.3058     861.9177       0.1212
         4       0.0002       0.0836      15.2563      15.2564       0.1158
         5       0.0080       0.0943      15.2563      15.3708       0.1510
         6       0.0071       0.6999      15.2563      15.3461       0.1066
         7       0.0001       0.1394      15.2563      15.2563       0.0871
         8       0.2763       0.5869      15.2562      88.4339       0.0872
         9       0.0001       0.3171      15.2563      15.2563       0.0834
        10       0.0000       0.8202      15.2563      15.2563       0.0855
        11       0.0040       0.3637      15.2563      15.2853       0.0802
        12       0.0301       0.7467      15.2563      16.7633       0.0827
        13       0.0506       0.7362      15.2563      19.2896       0.0919
        14       5.9798       0.2466      15.2820     811.4714       0.0953
        15       0.4325       0.9535      15.2562     150.3014       0.1052
        16       0.1235       0.4276      15.2562      35.4422       0.0894
        17       0.0023       0.9736      15.2563      15.2664       0.0853
        18       0.3567       0.2451      15.2562     120.1138       0.0896
        19       0.0014       0.5201      15.2563      15.2600       0.0822
        20       6.6847       0.7586      15.2887     830.5086       0.0833
        21       0.5162       0.6058      15.2562     183.0226       0.0834
        22       1.1333       0.8890      15.2566     380.6119       0.0866
        23       0.0119       0.5130      15.2563      15.5021       0.0817
        24       0.0027       0.2975      15.2563      15.2700       0.0815
        25       0.0223       0.3045      15.2563      16.1011       0.0845
        26       0.1241       0.0127      15.2562      35.6339       0.0796
        27       0.0161       0.7248      15.2563      15.7020       0.0806
        28       0.0000       0.7689      15.2563      15.2563       0.0886
        29       0.0081       0.6570      15.2563      15.3738       0.0835
        30       0.0002       0.4738      15.2563      15.2564       0.0831
        31       0.7035       0.9417      15.2562     251.6603       0.0869
        32       0.2086       0.9972      15.2562      63.0801       0.0841
        33       0.0079       0.7971      15.2563      15.3668       0.0824
        34       0.0000       0.8362      15.2563      15.2563       0.0788
        35       0.0035       0.5738      15.2563      15.2786       0.0809
        36       0.0010       0.0334      15.2563      15.2583       0.0815
        37       0.0000       0.7649      15.2563      15.2563       0.0773
        38       0.0001       0.1765      15.2563      15.2563       0.0806
        39       2.3520       0.5093      15.2595     595.1319       0.0835
        40       0.6371       0.1313      15.2562     228.1683       0.0819
        41       0.0000       0.3262      15.2563      15.2563       0.0822
        42       0.0001       0.3700      15.2563      15.2563       0.0848
        43       0.0095       0.4597      15.2563      15.4145       0.0819
        44       0.0009       0.7673      15.2563      15.2578       0.0813
        45       0.4064       0.3649      15.2562     139.9512       0.0863
        46       0.0031       0.9224      15.2563      15.2736       0.0850
        47       0.0474       0.0885      15.2563      18.8325       0.0847
        48       0.0000       0.0140      15.2563      15.2563       0.0823
        49       0.0081       0.6359      15.2563      15.3720       0.0804
        50       0.2255       0.4973      15.2562      69.2169       0.0822
        51       0.0001       0.4188      15.2563      15.2563       0.1377
        52       0.0000       0.2427      15.2563      15.2563       0.0795
        53       0.0005       0.2216      15.2563      15.2569       0.0801
        54       0.0001       0.3543      15.2563      15.2563       0.0784
        55       0.0008       0.6838      15.2563      15.2575       0.0797
        56       5.6366       0.1313      15.2790     800.7800       0.0773
        57       0.0124       0.7606      15.2563      15.5265       0.0807
        58       5.1235       0.6209      15.2749     782.6377       0.0809
        59       0.6731       0.0792      15.2562     241.0130       0.0807
        60       0.0002       0.6160      15.2563      15.2564       0.0791
        61       0.0010       0.1088      15.2563      15.2584       0.0785
        62       0.0000       0.7528      15.2563      15.2563       0.0815
        63       0.0348       0.6363      15.2563      17.2413       0.1016
        64       0.0089       0.7370      15.2563      15.3950       0.0930
        65       0.6356       0.0333      15.2562     227.6338       0.1022
        66       0.0056       0.6878      15.2563      15.3124       0.1023
        67       0.3023       0.2291      15.2562      98.5856       0.0975
        68       0.0001       0.0562      15.2563      15.2563       0.0893
        69       0.0338       0.5417      15.2563      17.1416       0.0792
        70       0.0016       0.5655      15.2563      15.2609       0.0813
