   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       0.0002       0.6426          NaN          NaN       1.4654
         2       0.0762       0.6832          NaN          NaN       1.3397
         3       0.0003       0.6087          NaN          NaN       1.3339
         4       0.8398       0.2172          NaN          NaN       1.3775
         5       0.1780       0.1386          NaN          NaN       1.3887
         6       0.9056       0.3633          NaN          NaN       1.2916
         7       0.4004       0.9704          NaN          NaN       1.2978
         8       0.0000       0.0194          NaN          NaN       1.3053
         9       0.0001       0.7879          NaN          NaN       1.3140
        10       0.0002       0.0323          NaN          NaN       1.3207
        11       0.0008       0.5528          NaN          NaN       1.3248
        12       0.3345       0.5187          NaN          NaN       1.3117
        13       0.0414       0.2223          NaN          NaN       1.2881
        14       0.0002       0.1153          NaN          NaN       1.2943
        15       0.0001       0.3447          NaN          NaN       1.3353
        16       0.0162       0.1523          NaN          NaN       1.2769
        17       0.0158       0.4604          NaN          NaN       1.2756
        18       0.0000       0.4642          NaN          NaN       1.3103
        19       0.0018       0.8020          NaN          NaN       1.2844
        20       0.0000       0.6330          NaN          NaN       1.2865
        21       0.0012       0.9536          NaN          NaN       1.3110
        22       0.1525       0.5035          NaN          NaN       1.2889
        23       0.0000       0.9774          NaN          NaN       1.3254
        24       0.3901       0.1121          NaN          NaN       1.2987
        25       0.0765       0.5196          NaN          NaN       1.2748
        26       0.0040       0.3250          NaN          NaN       1.2753
        27       0.8173       0.8952          NaN          NaN       1.2892
        28       0.5856       0.7344          NaN          NaN       1.2911
        29       0.8274       0.9953          NaN          NaN       1.2874
        30       0.0118       0.8294          NaN          NaN       1.2907
        31       0.8723       0.8067          NaN          NaN       1.2730
        32       0.0841       0.6231          NaN          NaN       1.2729
        33       0.0137       0.8562          NaN          NaN       1.2671
        34       0.0071       0.7289          NaN          NaN       1.2690
        35       0.0748       0.7818          NaN          NaN       1.2855
        36       0.0015       0.5173          NaN          NaN       1.3006
        37       0.0180       0.9463          NaN          NaN       1.2913
        38       0.0006       0.4733          NaN          NaN       1.2818
        39       0.6960       0.6266          NaN          NaN       1.2845
        40       0.0001       0.3329          NaN          NaN       1.2903
        41       0.0811       0.6320          NaN          NaN       1.3507
        42       0.0000       0.8157          NaN          NaN       1.2966
        43       0.6967       0.5925          NaN          NaN       1.2976
        44       0.0825       0.4875          NaN          NaN       1.2723
        45       0.0041       0.7733          NaN          NaN       1.2717
        46       0.5896       0.1028          NaN          NaN       1.2921
        47       0.8871       0.0868          NaN          NaN       1.2881
        48       0.0901       0.8352          NaN          NaN       1.2831
        49       0.0203       0.9220          NaN          NaN       1.3033
        50       0.6398       0.0684          NaN          NaN       1.2687
