   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       0.0002       0.6426       0.0009       0.0009       0.6152
         2       0.0762       0.6832       0.0009       0.0158       0.3427
         3       0.0003       0.6087       0.0009       0.0009       0.3266
         4       0.8398       0.2172       0.0011       0.5150       0.3086
         5       0.1780       0.1386       0.0009       0.0659       0.3414
         6       0.9056       0.3633       0.0011       0.5535       0.2975
         7       0.4004       0.9704       0.0010       0.2191       0.2924
         8       0.0000       0.0194       0.0009       0.0009       0.2944
         9       0.0001       0.7879       0.0009       0.0009       0.2769
        10       0.0002       0.0323       0.0009       0.0009       0.2921
        11       0.0008       0.5528       0.0009       0.0009       0.3087
        12       0.3345       0.5187       0.0010       0.1714       0.3085
        13       0.0414       0.2223       0.0009       0.0057       0.3012
        14       0.0002       0.1153       0.0009       0.0009       0.2944
        15       0.0001       0.3447       0.0009       0.0009       0.3067
        16       0.0162       0.1523       0.0009       0.0017       0.2853
        17       0.0158       0.4604       0.0009       0.0017       0.2947
        18       0.0000       0.4642       0.0009       0.0009       0.2869
        19       0.0018       0.8020       0.0009       0.0009       0.2892
        20       0.0000       0.6330       0.0009       0.0009       0.2899
        21       0.0012       0.9536       0.0009       0.0009       0.2954
        22       0.1525       0.5035       0.0009       0.0512       0.2935
        23       0.0000       0.9774       0.0009       0.0009       0.2924
        24       0.3901       0.1121       0.0010       0.2116       0.3042
        25       0.0765       0.5196       0.0009       0.0159       0.2929
        26       0.0040       0.3250       0.0009       0.0010       0.2794
        27       0.8173       0.8952       0.0011       0.5015       0.3285
        28       0.5856       0.7344       0.0010       0.3511       0.3831
        29       0.8274       0.9953       0.0011       0.5076       0.2744
        30       0.0118       0.8294       0.0009       0.0014       0.2914
        31       0.8723       0.8067       0.0011       0.5342       0.2818
        32       0.0841       0.6231       0.0009       0.0187       0.3010
        33       0.0137       0.8562       0.0009       0.0015       0.3148
        34       0.0071       0.7289       0.0009       0.0011       0.3154
        35       0.0748       0.7818       0.0009       0.0153       0.2939
        36       0.0015       0.5173       0.0009       0.0009       0.2834
        37       0.0180       0.9463       0.0009       0.0019       0.2828
        38       0.0006       0.4733       0.0009       0.0009       0.2869
        39       0.6960       0.6266       0.0010       0.4252       0.2956
        40       0.0001       0.3329       0.0009       0.0009       0.2830
        41       0.0811       0.6320       0.0009       0.0176       0.2895
        42       0.0000       0.8157       0.0009       0.0009       0.2831
        43       0.6967       0.5925       0.0010       0.4257       0.2870
        44       0.0825       0.4875       0.0009       0.0181       0.2871
        45       0.0041       0.7733       0.0009       0.0010       0.3084
        46       0.5896       0.1028       0.0010       0.3538       0.3020
        47       0.8871       0.0868       0.0011       0.5429       0.2825
        48       0.0901       0.8352       0.0009       0.0210       0.2792
        49       0.0203       0.9220       0.0009       0.0021       0.2755
        50       0.6398       0.0684       0.0010       0.3880       0.2861
