   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       0.1614       0.7855     781.7999     487.8400       3.5252
         2       0.0000       0.8337     783.7596     783.3893       3.5027
         3       0.0015       0.1642     783.7407     769.4249       3.4845
         4       0.0000       0.5921     783.7598     783.5609       3.5245
         5       0.0001       0.9491     783.7587     782.7191       3.5555
         6       0.0002       0.9090     783.7578     782.0225       3.4876
         7       0.0006       0.0141     783.7524     777.9494       3.4887
         8       0.1123       0.6337     782.3642     507.5734       3.4617
         9       0.0000       0.4752     783.7594     783.2841       3.5255
        10       0.0004       0.0080     783.7542     779.2888       3.4613
        11       0.3825       0.5807     779.5200          NaN       3.4958
        12       0.0002       0.1203     783.7579     782.1148       3.5043
        13       0.0023       0.4661     783.7295     761.6793       3.5096
        14       0.0004       0.9035     783.7550     779.9306       3.5004
        15       0.6466       0.9338     777.2096          NaN       3.4765
        16       2.2948       0.5505     767.1604     423.9979       3.4796
        17       0.0050       0.5418     783.6942     739.4128       3.4794
        18       0.0000       0.1099     783.7599     783.6361       3.4750
        19       0.0003       0.2988     783.7559     780.5625       3.4352
        20       2.8218       0.7237     764.6534     425.5748       3.4808
        21       0.0001       0.3132     783.7583     782.4006       3.5307
        22       0.2045       0.4341     781.3238          NaN       3.4715
        23       0.4262       0.7953     779.1112          NaN       3.5463
        24       0.8809       0.9211     775.4220     424.5844       3.5146
        25       1.9856       0.3345     768.7423     422.9829       3.5119
        26       0.0193       0.4723     783.5092     659.3746       3.5146
        27       0.0055       0.8047     783.6878     735.7047       3.4231
        28       1.1927       0.7714     773.3126     420.9947       3.4220
        29       0.2683       0.0700     780.6487          NaN       3.4828
        30       0.0004       0.5060     783.7551     779.9912       3.4786
        31       2.4566       0.5545     766.3664     424.5058       3.4064
        32       0.3087       0.3461     780.2385          NaN       3.4839
        33       0.0000       0.3191     783.7599     783.6222       3.4596
        34       0.0000       0.1740     783.7596     783.4281       3.4408
        35       0.0231       0.8962     783.4599     644.7243       3.4364
        36       0.0007       0.7968     783.7508     776.7753       3.4730
        37       0.2062       0.3849     781.3050          NaN       3.4098
        38       0.1943       0.6669     781.4353          NaN       3.4685
        39       0.1427       0.2500     782.0116     491.6606       3.4610
        40       0.0919       0.6446     782.6063     523.5427       3.4913
        41       0.0357       0.3665     783.2987     607.7345       3.5131
        42       0.0000       0.2569     783.7596     783.4100       3.4797
        43       0.0022       0.7439     783.7307     762.4531       3.4801
        44       0.0954       0.3889     782.5650     520.4405       3.4593
        45       0.0348       0.4943     783.3106     610.0493       3.4435
        46       0.1455       0.5435     781.9806     490.8419       3.4137
        47       0.0477       0.7682     783.1483     581.9212       3.4326
        48       0.0141       0.9310     783.5753     682.6560       3.4251
        49       0.3056       0.0515     780.2703          NaN       4.0589
        50       1.0073       0.6517     774.5344     421.6404       3.4896
