   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       0.1614       0.7855      10.4170     147.6585       2.1934
         2       0.0000       0.8337      10.4170      10.4170       1.6759
         3       0.0015       0.1642      10.4170      10.4426       1.6871
         4       0.0000       0.5921      10.4170      10.4170       1.6597
         5       0.0001       0.9491      10.4170      10.4171       1.7734
         6       0.0002       0.9090      10.4170      10.4173       1.6638
         7       0.0006       0.0141      10.4170      10.4210       1.6303
         8       0.1123       0.6337      10.4170      91.1239       1.6566
         9       0.0000       0.4752      10.4170      10.4170       1.6125
        10       0.0004       0.0080      10.4170      10.4193       1.7479
        11       0.3825       0.5807      10.4172     430.1840       1.6298
        12       0.0002       0.1203      10.4170      10.4173       1.6577
        13       0.0023       0.4661      10.4170      10.4806       1.6320
        14       0.0004       0.9035      10.4170      10.4187       1.6182
        15       0.6466       0.9338      10.4179     761.6662       1.6466
        16       2.2948       0.5505      10.4290    2171.9550       1.6221
        17       0.0050       0.5418      10.4170      10.7090       1.6236
        18       0.0000       0.1099      10.4170      10.4170       1.6261
        19       0.0003       0.2988      10.4170      10.4181       1.6366
        20       2.8218       0.7237      10.4350    2448.8998       1.6016
        21       0.0001       0.3132      10.4170      10.4172       1.6088
        22       0.2045       0.4341      10.4170     200.7357       1.6157
        23       0.4262       0.7953      10.4173     486.5609       1.6223
        24       0.8809       0.9211      10.4187    1030.7532       1.6093
        25       1.9856       0.3345      10.4260    1979.5954       1.6187
        26       0.0193       0.4723      10.4170      14.3141       1.6022
        27       0.0055       0.8047      10.4170      10.7675       1.6308
        28       1.1927       0.7714      10.4203    1348.6264       1.6387
        29       0.2683       0.0700      10.4171     282.1771       1.6252
        30       0.0004       0.5060      10.4170      10.4186       1.6212
        31       2.4566       0.5545      10.4307    2263.1797       1.6158
        32       0.3087       0.3461      10.4171     334.4873       1.6233
        33       0.0000       0.3191      10.4170      10.4170       1.6162
        34       0.0000       0.1740      10.4170      10.4170       1.5710
        35       0.0231       0.8962      10.4170      15.8809       1.5853
        36       0.0007       0.7968      10.4170      10.4228       1.6154
        37       0.2062       0.3849      10.4170     202.9057       1.6074
        38       0.1943       0.6669      10.4170     187.9323       1.6259
        39       0.1427       0.2500      10.4170     125.5272       1.5944
        40       0.0919       0.6446      10.4170      69.6710       1.6092
        41       0.0357       0.3665      10.4170      22.4934       1.6199
        42       0.0000       0.2569      10.4170      10.4170       1.5973
        43       0.0022       0.7439      10.4170      10.4760       1.7201
        44       0.0954       0.3889      10.4170      73.1894       1.7834
        45       0.0348       0.4943      10.4170      21.9362       1.7539
        46       0.1455       0.5435      10.4170     128.7054       1.7835
        47       0.0477       0.7682      10.4169      30.4509       1.6169
        48       0.0141       0.9310      10.4170      12.5926       1.6328
        49       0.3056       0.0515      10.4171     330.3672       1.6059
        50       1.0073       0.6517      10.4193    1165.1350       1.5979
