   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       2.3589       0.6307          NaN      86.9393       1.4842
         2       0.0002       0.6640          NaN          NaN       1.4699
         3       2.4691       0.6190          NaN      86.9414       1.4189
         4       0.0042       0.3415          NaN          NaN       1.4217
         5       0.0000       0.4634          NaN          NaN       1.4956
         6       0.8025       0.0266          NaN      86.8981       1.4460
         7       0.1078       0.6242          NaN      93.7670       1.5219
         8       0.0004       0.7191          NaN          NaN       1.4602
         9       0.0027       0.1849          NaN          NaN       1.5489
        10       0.0012       0.0017          NaN          NaN       1.3924
        11       0.0000       0.8801          NaN          NaN       1.4835
        12       0.0380       0.6692          NaN     248.3200       1.4544
        13       0.0074       0.4372          NaN          NaN       1.4676
        14       0.0001       0.6505          NaN          NaN       1.5169
        15       0.0623       0.0878          NaN     121.1793       1.4616
        16       0.0000       0.6525          NaN          NaN       1.4654
        17       0.4860       0.6525          NaN      86.9560       1.4521
        18       0.0752       0.3071          NaN     106.1105       1.4257
        19       0.0532       0.8142          NaN     148.7362       1.4164
        20       0.0000       0.4798          NaN          NaN       1.4661
        21       0.0006       0.9996          NaN          NaN       1.4732
        22       0.2861       0.9561          NaN      87.3194       1.3970
        23       0.0538       0.1749          NaN     146.0952       1.4746
        24       0.0001       0.6449          NaN          NaN       1.4148
        25       0.0006       0.1908          NaN          NaN       1.4649
        26       0.0004       0.6193          NaN          NaN       1.4255
        27       0.0007       0.8196          NaN          NaN       1.4286
        28       0.7885       0.2677          NaN      86.8983       1.4150
        29       0.0001       0.6361          NaN          NaN       1.4078
        30       0.0017       0.0145          NaN          NaN       1.4189
        31       0.0001       0.1139          NaN          NaN       1.4258
        32       0.0082       0.6106          NaN          NaN       1.3944
        33       0.2036       0.0708          NaN      88.0506       2.3003
        34       0.3223       0.7513          NaN      87.1850       2.2371
        35       0.0050       0.9957          NaN          NaN       2.0737
        36       0.0006       0.3975          NaN          NaN       2.6241
        37       0.0458       0.6512          NaN     185.4843       2.9578
        38       0.0090       0.9854          NaN          NaN       2.0269
        39       0.0002       0.4411          NaN          NaN       3.0059
        40       0.0013       0.0629          NaN          NaN       2.5410
        41       0.0564       0.9043          NaN     135.6952       2.0719
        42       0.0022       0.1136          NaN          NaN       2.3556
        43       0.0001       0.8417          NaN          NaN      10.3892
        44       0.0125       0.8950          NaN          NaN       1.8000
        45       0.0006       0.8461          NaN          NaN       2.2983
        46       0.0899       0.7566          NaN      98.6006       2.3176
        47       0.0079       0.7571          NaN          NaN       7.8566
        48       0.3912       0.7321          NaN      87.0428       2.2445
        49       0.4957       0.9372          NaN      86.9507       3.4162
        50       0.0001       0.1749          NaN          NaN       2.1726
