   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       0.8222       0.2983       0.0302     151.4638       0.5604
         2       0.0460       0.1276       0.0293       1.8848       0.2308
         3       0.0000       0.1781       0.0293       0.0293       0.2332
         4       0.0785       0.7687       0.0293       5.0132       0.2262
         5       0.0002       0.0094       0.0293       0.0293       0.2195
         6       0.0001       0.5316       0.0293       0.0293       0.1785
         7       1.2096       0.6328       0.0313     210.9019       0.1836
         8       0.0000       0.7346       0.0293       0.0293       0.1995
         9       0.0053       0.8673       0.0293       0.0564       0.1713
        10       0.4110       0.8240       0.0295      69.4836       0.1686
        11       0.0000       0.8595       0.0293       0.0293       0.1695
        12       0.0003       0.7533       0.0293       0.0294       0.1661
        13       0.3329       0.3222       0.0294      52.4208       0.1748
        14       0.0415       0.5672       0.0293       1.5536       0.1730
        15       2.0114       0.1597       0.0347     293.5194       0.1656
        16       0.0001       0.6699       0.0293       0.0293       0.1625
        17       0.0070       0.7544       0.0293       0.0765       0.1692
        18       0.0108       0.2923       0.0293       0.1408       0.1632
        19       0.0001       0.7604       0.0293       0.0293       0.1678
        20       0.0021       0.4538       0.0293       0.0338       0.1606
        21       0.0168       0.7012       0.0293       0.2953       0.1677
        22       0.0064       0.3197       0.0293       0.0689       0.1748
        23       0.0007       0.0418       0.0293       0.0297       0.1685
        24       0.1391       0.6421       0.0293      13.6080       0.1655
        25       0.0300       0.4883       0.0293       0.8484       0.1737
        26       0.0003       0.8739       0.0293       0.0293       0.1908
        27       0.7947       0.0631       0.0302     146.5903       0.1643
        28       0.0000       0.3330       0.0293       0.0293       0.1794
        29       0.1066       0.2048       0.0293       8.6238       0.1621
        30       0.0001       0.2805       0.0293       0.0293       0.1747
        31       0.0011       0.8332       0.0293       0.0305       0.1654
        32       0.0010       0.5104       0.0293       0.0303       0.1770
        33       0.0000       0.4436       0.0293       0.0293       0.1711
        34       0.0126       0.8812       0.0293       0.1797       0.1622
        35       0.5976       0.0878       0.0298     108.9691       0.1632
        36       0.0000       0.5170       0.0293       0.0293       0.1587
        37       0.0009       0.7727       0.0293       0.0301       0.1605
        38       0.0000       0.8005       0.0293       0.0293       0.1736
        39       0.0037       0.5947       0.0293       0.0427       0.1697
        40       2.6974       0.2041       0.0387     338.6066       0.1585
        41       1.8817       0.0005       0.0341     282.8463       0.1699
        42       0.3342       0.9931       0.0294      52.6960       0.1652
        43       0.4512       0.0141       0.0296      78.2254       0.1634
        44       0.0005       0.6209       0.0293       0.0295       0.1625
        45       0.0016       0.2663       0.0293       0.0316       0.1684
        46       0.0030       0.0652       0.0293       0.0382       0.1869
        47       0.6465       0.6863       0.0299     118.7307       0.2129
        48       0.0000       0.6204       0.0293       0.0293       0.2200
        49       0.3737       0.5254       0.0295      61.3259       0.1978
        50       2.4808       0.9643       0.0374     326.1257       0.1556
