   RS iter        Gamma        Alpha  PRESS lasso   PRESS spgl    T elapsed 
         1      26.9638       0.9481    3043.9816    3043.9816      36.6481
         2       0.0001       0.4864          NaN          NaN     656.2507
         3       0.4866       0.6352    2822.8256    2822.8256       6.4359
         4       0.0796       0.5042    3108.9766    3108.9766      11.8086
         5      70.9031       0.6354    3043.9816    3043.9816       3.9677
         6       0.0000       0.9111          NaN          NaN     739.9108
         7       1.6444       0.4717    3038.9450    3038.9450       4.5023
         8       0.0001       0.0222          NaN          NaN     653.3270
         9       0.0001       0.9298          NaN          NaN     693.2228
        10       0.0000       0.7700          NaN          NaN     752.8681
        11       0.0002       0.8749          NaN          NaN     620.3825
        12       0.0016       0.9708   33017.1605   33017.1605     385.3370
        13       0.0348       0.3550    3512.8038    3512.8038      38.8861
        14       0.0015       0.7978   27943.7207   27943.7207     368.6316
        15       1.5825       0.9530    3038.9013    3038.9013       4.5249
        16      85.7868       0.8907    3043.9816    3043.9816       4.0214
        17       0.9569       0.3021    2964.8216    2964.8216       6.3325
        18       1.2555       0.0581    3032.1337    3032.1337       4.4029
        19      17.2985       0.8916    3043.9816    3043.9816       3.8446
        20       7.3512       0.8289    3041.9160    3041.9160       4.1676
        21       0.0087       0.0775    5535.0044    5535.0044     155.6396
        22       0.0000       0.7621          NaN          NaN     723.2118
        23       0.0057       0.4523    4733.3001    4733.3001     215.8869
        24       0.0243       0.7519    3710.7936    3710.7936      57.9352
        25       0.0000       0.5075          NaN          NaN     757.2096
        26       0.0077       0.7611    4707.9031    4707.9031     167.2982
        27       0.3501       0.6875    2794.4153    2794.4153       7.2762
        28      22.3621       0.7567    3043.9816    3043.9816       3.9090
        29       0.0799       0.3157    3105.1239    3105.1239      12.2129
        30       0.0154       0.5100    4158.6004    4158.6004     135.9749
        31       0.0000       0.3636          NaN          NaN     685.1594
        32       0.2202       0.2280    2810.8132    2810.8132       6.7478
        33      24.9238       0.7500    3043.9816    3043.9816       3.8974
        34       0.0000       0.3693          NaN          NaN     736.2410
        35       0.0200       0.8951    3680.7587    3680.7587     100.0370
        36       0.0033       0.5349    4704.6653    4704.6653     441.9479
        37       0.0014       0.0252   32974.6349   32974.6349     346.9384
        38       0.0002       0.7082          NaN          NaN     625.1661
        39       0.0028       0.4792    4681.1698    4681.1698     560.2991
        40      40.2909       0.7409    3043.9816    3043.9816       3.9836
        41       0.0000       0.1655          NaN          NaN     768.1221
        42       0.0028       0.3277    4749.9847    4749.9847     552.0180
        43       0.0004       0.7059  123149.6165  123149.6165     549.6598
        44       0.0890       0.0583    3023.8887    3023.8887      15.3560
        45       0.2119       0.5831    2813.0015    2813.0015       6.4730
        46       0.0001       0.0213          NaN          NaN     627.7628
        47       0.0886       0.3851    3026.8585    3026.8585      15.3745
        48       1.9354       0.5935    3039.2871    3039.2871       4.1220
        49       0.0021       0.0905    5268.6407    5268.6407     372.9015
        50       2.8183       0.7091    3039.7982    3039.7982       4.1984
        51      12.8604       0.7597    3043.5037    3043.5037       4.1049
        52       0.0001       0.7775          NaN          NaN     661.2037
        53       0.2985       0.6835    2795.2536    2795.2536       8.5440
        54       0.0018       0.2228    5897.3672    5897.3672     419.9128
        55       0.0000       0.4719          NaN          NaN     726.4343
        56       0.4551       0.3948    2814.7866    2814.7866       6.5761
        57      12.5436       0.4769    3043.4463    3043.4463       4.2641
        58       0.0212       0.6911    3665.1857    3665.1857      88.0351
        59       0.0177       0.4647    3794.1544    3794.1544     121.6292
        60      27.8447       0.7075    3043.9816    3043.9816       3.8822
        61       0.0486       0.2158    3206.9851    3206.9851      10.9473
        62       0.5789       0.2549    2850.2080    2850.2080       6.6719
        63       0.0002       0.0324          NaN          NaN     739.2060
        64       0.0001       0.7892          NaN          NaN     681.9463
        65       0.0095       0.2047    4601.5730    4601.5730     152.0371
        66      12.4811       0.3175    3043.4347    3043.4347       4.0470
        67       4.7095       0.3946    3040.6515    3040.6515       4.1256
        68      59.2441       0.3151    3043.9816    3043.9816       3.9806
        69       0.0004       0.8282  148268.9639  148268.9639     639.8756
        70       0.0534       0.4567    3264.5958    3264.5958      10.4149
        71       0.0051       0.1126    4835.4613    4835.4613     181.8062
        72       0.0003       0.0945          NaN          NaN     702.6463
        73       2.4857       0.4987    3039.6944    3039.6944       4.3904
        74      99.0148       0.2925    3043.9816    3043.9816       3.9976
        75       0.0006       0.5840  161757.4961  161757.4961     527.6189
        76       0.0000       0.0371          NaN          NaN     669.7620
        77       0.0065       0.7897    4556.4343    4556.4343     161.3629
        78       1.4458       0.7314    3038.8643    3038.8643       4.4582
        79       3.5515       0.6748    3040.0942    3040.0942       4.2224
        80       0.5735       0.2411    2848.4941    2848.4941       6.4074
        81       1.3259       0.6695    3037.9228    3037.9228       4.5423
        82       0.0005       0.8693  130414.1696  130414.1696     523.5309
        83      31.2898       0.7068    3043.9816    3043.9816       3.9890
        84       0.0418       0.7184    3257.4708    3257.4708      12.7393
        85       0.0038       0.9861    4666.7756    4666.7756     340.7271
        86       0.0017       0.9777   14384.0016   14384.0016     397.5001
        87       0.0825       0.8855    3080.3662    3080.3662      13.0666
        88       0.5120       0.3524    2829.8904    2829.8904       6.3789
        89       0.0018       0.4631    5661.1738    5661.1738     413.7454
        90       0.0021       0.2096    5261.1511    5261.1511     360.6238
        91       0.0000       0.5180          NaN          NaN     721.1942
        92       0.0548       0.5880    3289.4434    3289.4434      10.6366
        93       0.0280       0.4940    4223.5821    4223.5821      57.5992
        94      32.5689       0.8394    3043.9816    3043.9816       3.9110
        95       0.0064       0.0620    4562.0743    4562.0743     158.1050
        96       0.3123       0.2695    2794.0355    2794.0355       7.9731
        97       0.0003       0.7059          NaN          NaN     649.5219
        98       0.0012       0.7713   80213.9996   80213.9996     694.4194
        99       0.0000       0.1202          NaN          NaN     667.9351
       100       0.0107       0.4813    4955.8922    4955.8922     170.6052
