   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       0.0000       0.5812       0.2724       0.2724       0.8330
         2       0.0014       0.8147       0.2724       0.2765       0.5058
         3       0.0560       0.5531       0.2724       6.3450       0.4696
         4       0.6834       0.0108       0.2732     311.0960       0.4587
         5       2.4171       0.4532       0.2823     845.9408       0.5329
         6       0.2340       0.9939       0.2725      73.9135       0.4436
         7       0.1441       0.7231       0.2724      33.5745       0.4393
         8       0.0003       0.5391       0.2724       0.2725       0.4385
         9       0.0049       0.5185       0.2724       0.3255       0.4482
        10       0.1006       0.6903       0.2724      18.0608       0.4298
        11       0.1170       0.6592       0.2724      23.4918       0.4303
        12       1.2744       0.8599       0.2752     559.6087       0.4383
        13       0.0002       0.6076       0.2724       0.2724       0.4395
        14       0.0010       0.8323       0.2724       0.2748       0.4393
        15       0.0001       0.1377       0.2724       0.2724       0.4273
        16       0.0160       0.4928       0.2724       0.8147       0.4397
        17       0.0877       0.7968       0.2724      14.1755       0.4316
        18       0.0335       0.1391       0.2724       2.5599       0.4813
        19       0.0003       0.2914       0.2724       0.2726       0.4288
        20       0.0000       0.8222       0.2724       0.2724       0.4385
        21       0.0346       0.1616       0.2724       2.7083       0.4279
        22       0.0005       0.8917       0.2724       0.2728       0.4982
        23       0.2795       0.0057       0.2725      96.9431       0.5152
        24       0.0015       0.5686       0.2724       0.2773       0.4482
        25       0.0000       0.7067       0.2724       0.2724       0.4300
        26       0.0002       0.1787       0.2724       0.2725       0.4325
        27       0.3627       0.8423       0.2726     141.1422       0.4882
        28       0.0000       0.5579       0.2724       0.2724       0.4747
        29       0.0425       0.3373       0.2724       3.8825       0.4377
        30       0.0017       0.0442       0.2724       0.2791       0.4271
        31       0.5232       0.4229       0.2729     228.0644       0.4269
        32       0.0000       0.3588       0.2724       0.2724       0.4270
        33       0.0001       0.2739       0.2724       0.2724       0.4243
        34       0.0005       0.2932       0.2724       0.2730       0.4250
        35       0.0015       0.0228       0.2724       0.2772       0.4221
        36       0.7936       0.1731       0.2735     364.4784       0.4234
        37       0.0000       0.5442       0.2724       0.2724       0.4320
        38       0.0001       0.1355       0.2724       0.2724       0.4209
        39       0.0009       0.0791       0.2724       0.2741       0.4269
        40       0.0002       0.5075       0.2724       0.2725       0.4265
