   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
         1       0.0002       0.2269       0.4873       0.4873      33.9016
         2       0.0001       0.3419       0.4873       0.4873      19.6465
         3       0.0076       0.8973       0.4873       0.4884      43.3789
         4       0.0002       0.9937       0.4873       0.4873      22.9389
         5       5.2833       0.5547       0.6278      12.0985      20.5221
         6       0.0000       0.2454       0.4873       0.4873      20.6655
         7       9.3658       0.3640       0.8106      13.6703      31.4409
         8       0.0003       0.3705       0.4873       0.4873      27.1347
         9       0.0142       0.4329       0.4873       0.4913      32.4302
        10       0.0002       0.9777       0.4873       0.4873      28.6158
        11       4.5813       0.3286       0.6005      11.6123      20.2094
        12       0.0006       0.1816       0.4873       0.4873      31.6558
        13       0.0983       0.0665       0.4872       0.6498      19.5948
        14       0.0001       0.2307       0.4873       0.4873      35.0976
        15       3.9503       0.8494       0.5770      11.0672      19.9348
        16       0.0019       0.8316       0.4873       0.4874      26.8670
        17       0.0020       0.8563       0.4873       0.4874      26.0965
        18       0.0018       0.1948       0.4873       0.4874      21.6466
        19       0.0023       0.6924       0.4873       0.4874      27.1445
        20       0.0332       0.1059       0.4872       0.5084      29.7991
        21       0.0000       0.0672       0.4873       0.4873      33.2959
        22       0.7999       0.5371       0.4933       4.1090      23.7493
        23       0.7102       0.5374       0.4920       3.6759      19.9882
        24       0.0003       0.8576       0.4873       0.4873      35.8906
        25       0.0394       0.9520       0.4872       0.5167      22.1715
        26       6.8084       0.9931       0.6892      12.8688      28.8224
        27       0.0028       0.4903       0.4873       0.4875      28.3278
        28       0.0133       0.8605       0.4873       0.4908      31.8680
        29       0.0361       0.9214       0.4872       0.5121      19.3621
        30       1.4781       0.9024       0.5069       6.7361      19.2735
        31       0.0045       0.6055       0.4873       0.4877      40.5952
        32       0.7364       0.6275       0.4923       3.8045      20.8807
        33       0.5599       0.1120       0.4901       2.9085      25.5514
        34       1.1409       0.8343       0.4996       5.5652      20.0810
        35       0.0037       0.3918       0.4873       0.4876      26.8355
        36       0.2513       0.4619       0.4876       1.2807      30.4768
        37       0.4127       0.1255       0.4886       2.1227      19.9766
        38       0.5567       0.6342       0.4901       2.8916      20.5136
        39       0.0000       0.2145       0.4873       0.4873      29.6729
        40       0.0002       0.4474       0.4873       0.4873      26.6222
        41       0.0000       0.6146       0.4873       0.4873      32.9369
        42       0.0086       0.5507       0.4873       0.4888      27.3738
        43       0.0001       0.2523       0.4873       0.4873      38.7488
        44       0.0432       0.3704       0.4872       0.5224      28.4406
        45       0.0584       0.3336       0.4872       0.5494      30.8825
        46       0.0001       0.2186       0.4873       0.4873      31.2144
        47       4.0516       0.0525       0.5805      11.1632      20.1403
        48       6.1522       0.9265       0.6622      12.5755      23.9977
        49       0.0025       0.2336       0.4873       0.4874      20.9041
        50       0.5935       0.3591       0.4905       3.0841      19.8470
        51       0.0846       0.7209       0.4872       0.6110      26.0338
        52       0.0002       0.4265       0.4873       0.4873      20.5747
        53       0.0026       0.7991       0.4873       0.4874      29.1940
        54       0.0007       0.7128       0.4873       0.4873      19.0727
        55       0.0079       0.4917       0.4873       0.4885      24.8894
        56       0.0001       0.8340       0.4873       0.4873      33.1047
        57       9.8132       0.7786       0.8356      13.7728      27.9900
        58       0.0002       0.4015       0.4873       0.4873      20.8295
        59       0.0001       0.2475       0.4873       0.4873      30.8618
        60       0.0029       0.8121       0.4873       0.4875      27.5976
        61       0.0745       0.2797       0.4872       0.5854      28.3021
        62       1.0442       0.2004       0.4977       5.1821      20.3154
        63       0.0006       0.7811       0.4873       0.4873      20.4778
        64       0.0169       0.8351       0.4873       0.4929      20.5552
        65       0.9542       0.3774       0.4959       4.8049      31.4915
        66       0.0001       0.0625       0.4873       0.4873      30.7894
        67       0.1349       0.4962       0.4872       0.7718      22.7528
        68       4.4247       0.0083       0.5944      11.4880      19.4797
        69       0.0000       0.0037       0.4873       0.4873      26.6522
        70       1.7477       0.7088       0.5126       7.5151      19.8459
